CAL851	HCC2218	HCC70	KPL1	EFM192A	CAL51	EFM19	CAL120	JIMT1	HDQP1	ZR751	HCC38	HCC1143	HCC1187	HCC1395	HCC1500	HCC1806	HCC1937	HCC1954	AU565	BT549	MDAMB453	MDAMB468	T47D	BT20	CAMA1	MCF7	MDAMB157	MDAMB231
C18:1 LPC	5.9683705	5.6515261	5.6355787	5.8915248	6.1541088	6.3103114	5.8952016	5.9284434	6.0131781	5.7859822	5.8040353	5.6541598	5.9060578	5.9159356	6.3961818	6.1454878	5.829902	5.9641525	6.1411453	5.3847011	5.8153677	5.8795328	6.1613545	6.2750297	5.560341	5.9271058	5.8905787	6.0011208	6.1542733
C18:0 LPC	6.0285161	5.8605759	5.1725084	5.3182321	6.4496064	6.3728528	6.1156734	5.9219558	5.7768061	5.8629542	5.825182	6.0573474	6.1576586	6.5800015	6.6365603	6.3313731	5.4893882	5.8861144	6.0616588	5.5577806	5.8839763	5.8052981	6.3332454	6.4507597	5.5853244	6.1128006	5.8517058	6.368864	6.4231087
C20:4 LPC	5.9890362	5.7414658	5.6242312	5.7802059	5.9765666	6.18632	5.7664946	5.9332728	5.9006845	5.722394	5.7529865	5.67706	5.8273344	5.8350784	6.2722511	6.1540641	5.8438196	5.9772639	6.0124771	5.5368994	5.852053	5.8508987	6.0630175	6.2245395	5.6975178	5.4923113	5.8113802	6.0250812	6.1673604
C20:3 LPC	5.9772984	5.8909433	5.0287213	5.2186831	6.289654	6.2245948	6.284676	5.9121593	5.6833794	5.8726165	5.7349267	6.0417983	6.1307777	6.6259339	6.5486354	6.2271442	5.7410339	6.1903163	6.0414015	5.7414446	5.7041492	5.76873	6.2332551	6.414178	5.651384	5.8161383	5.7884646	6.3633195	6.3445148
C22:6 LPC	6.0501849	5.4376937	5.577452	5.592159	6.0754595	6.2037006	5.8667487	6.011554	5.7607827	5.7753672	5.7128244	5.7449002	5.7027202	5.7136236	6.3796731	5.923828	6.0252484	5.6164861	5.9062765	5.4522064	6.0431195	5.7537822	6.1736133	5.9085331	5.9370554	5.9402708	5.8896442	5.8664613	6.0168861
C16:0 LPE	5.8330636	6.6100393	5.9098957	6.2546271	6.1283651	5.7678946	5.3791085	6.1414827	6.1489218	5.8731982	6.0550789	5.6217824	5.4899388	5.8541436	5.8919614	6.1344041	5.7403781	6.0325893	6.1132676	6.2496616	5.6337344	6.4497977	5.979602	6.6372765	5.9696449	6.6579073	6.2013945	6.0438022	5.5702662
C18:1 LPE	5.8371562	6.4254398	5.8883107	6.4720597	5.9312292	5.7545417	5.3218816	6.1640236	6.1456373	5.809916	6.0786854	5.4526578	5.4342762	5.7603989	5.7314496	6.1623746	5.7763002	6.0467083	6.2336827	6.0166271	5.6258461	6.2843189	5.9029718	6.4536322	5.8850668	6.4207873	6.3598426	5.8320253	5.7251296
C18:0 LPE	5.6185827	5.7991785	5.4568784	6.0086725	5.7752646	5.6762672	5.4991551	6.3147472	6.3611241	5.890497	5.7550746	5.8905038	5.529139	6.2187251	5.8818729	6.115614	6.1536613	6.1963584	6.1253717	5.8198379	5.2088022	6.1674002	5.9809239	6.1840232	5.9243664	6.4253363	5.7954741	6.0933385	6.0312653
C20:4 LPE	5.8169772	6.1390816	5.9556432	5.213497	5.67791	5.5555531	5.9808018	6.0408691	5.5439742	5.9596004	5.6322172	5.9134445	5.8745151	5.7072612	6.0972952	5.836162	5.4514023	6.2281856	5.5175783	5.5478029	5.8915635	5.6196495	5.7862442	5.9662989	5.7388644	5.6732569	5.6387325	5.9935178	5.9358509
C22:6 LPE	5.7969158	5.9222898	5.8644536	4.8531789	6.0077439	6.2619903	5.7394766	6.388446	5.7778946	5.9100577	5.8967905	5.7888332	5.9313366	5.8780034	6.2475439	6.0064457	5.0431561	5.7095717	6.0308362	5.6637564	5.4256776	5.324547	6.1055385	6.1165838	5.852673	6.3203039	6.2069503	6.0851192	6.1341925
C32:2 PC	5.7765312	6.8620944	6.4267906	6.6718845	6.1132141	5.6714983	5.934363	5.8199814	6.0804933	5.7820834	6.6367864	5.8182291	5.7420772	6.3101204	5.7957825	6.1312545	5.7777424	6.1108019	5.8862938	6.2261912	5.5282543	6.0233528	5.718112	6.3759523	6.0986856	5.8392401	6.3662982	5.2516685	5.4411378
C32:1 PC	5.9346968	6.386507	6.1902957	6.0161382	6.0054621	5.6910727	5.941794	5.8851657	5.9689529	5.6730065	6.0057571	6.0361025	5.7722695	6.2643829	5.9013627	6.0714157	5.8371603	5.8224752	5.9654966	6.0510511	5.3794362	6.1436373	5.8171072	6.1321615	5.9969659	6.0335066	5.9349374	5.6632746	5.6954417
C32:0 PC	5.6709472	5.9318083	5.7610742	5.5626184	5.7640722	5.8354979	4.9384978	5.701445	5.4652672	5.9461546	5.8824168	6.088573	5.8446117	6.4356592	6.1793571	5.3839016	5.4910157	5.4892325	6.0507543	5.746848	5.2761666	5.7499864	5.7886549	6.0478793	5.7720447	5.8538221	5.7579825	5.8243936	5.4698723
