CAL851	HCC2218	HCC70	KPL1	EFM192A	CAL51	EFM19	CAL120	JIMT1	HDQP1	ZR751	HCC38	HCC1143	HCC1187	HCC1395	HCC1500	HCC1806	HCC1937	HCC1954	AU565	BT549	MDAMB453	MDAMB468	T47D	BT20	CAMA1	MCF7	MDAMB157	MDAMB231
ABCB6	3.59446825995984	4.10393227052336	3.7965558113857	4.98487552061061	3.63620390689892	4.39568989156138	4.75677393738112	3.81476002951439	3.79861061524037	4.02465573021201	4.93408149519099	3.83180249890397	3.50515609963259	3.64371984108827	4.98298716747848	5.33943848098185	5.55779197635959	4.06814032234791	3.66242420513637	4.42239155997805	3.87250050982139	4.33203167417841	3.94094712050193	4.54237369275722	5.38168748386593	4.53891815123507	4.80689419336187	5.02322408892722	4.13510468025326
ABCB7	4.46986153978983	4.65302549373534	3.71551985987936	3.90607159088429	4.19029492319877	3.82368144314945	5.41236948344516	4.44239196316366	4.74345551577046	4.28249488057426	3.4623714610926	4.06678085248432	5.27525952454371	4.42810346559175	3.1635023989366	4.22123835940316	4.22109516718032	4.14467620264602	4.04656968238039	5.22047025508342	3.82129310295824	3.95104381310825	4.08798212147026	3.8874708879173	3.5295840801911	4.86312664507347	3.84211792642648	3.51791874290045	4.62913212303977
ABCB8	3.83388725818407	5.88040388366023	3.95687522274908	4.80006292468488	4.00435405432529	4.07003212771505	4.68343562029019	3.60528717756593	4.15388536471393	4.83280076620441	3.90266029723842	3.76340792599697	3.96666920687317	3.26374604315525	4.7160558670298	4.33739519207134	3.73237493894134	3.56350102501582	4.21194925496743	5.13967929126483	4.39167945779701	4.1222285384053	3.76055585922054	3.73267470108452	4.62496846159919	4.54083735660237	3.93600476826182	4.43161386774826	4.27711941855376
ABCC1	4.23098174759854	3.84723948266532	3.9200241811787	3.96017012417695	3.19529941755516	4.39094715551916	3.7288891482713	4.01742206644049	5.0290000058467	4.67833324945302	3.97923518782409	3.88847686257405	5.24788751504493	5.12867332970542	5.74553318884157	3.32571152735196	4.42103955033858	3.28376507943246	4.12082691980068	4.06771761845925	3.94784601446674	2.70142033385855	3.40097135549888	3.74388356641729	3.9478727135755	4.33572574401929	4.17974817601882	4.14746193515195	4.66550310710293
ABCC4	2.80997507673713	4.44974446722141	2.26890045543622	3.61660089377532	4.0372295744923	4.3359380821985	2.15292288036714	3.97000979831814	3.88173064881006	4.69327126463424	2.86613756653398	3.39931644006504	4.38999953959629	3.09776513287462	4.17333907106488	1.00505001574656	3.1015189590422	2.79663404947225	3.90713815186115	3.98474710678287	4.90536094776236	2.71051397285887	3.60189204240699	2.38371927667564	2.97038397922648	2.80741775854919	3.70887469033815	4.86074937401337	4.79897957987631
ABCD1	4.78776524554357	4.02685825965409	4.52763512326245	4.31787928426372	3.72628248094597	3.04148162822883	3.27636034531314	3.78849850524317	4.63679977847545	4.27461074769893	4.59661132185282	5.33724541198655	4.47677798530404	3.60491229609393	3.05083975251302	2.60931940601711	4.35568453743416	3.63039601720544	4.09200245510727	5.21733831542786	4.1831878984178	5.53893699182438	4.07777561516039	3.38683500775269	4.62719326939483	4.61980560864851	4.84816580591341	5.51798117076594	4.62204390130052
ABCD3	4.38008706250232	4.75773052999172	4.77236337076636	4.46007989984447	4.76507912328545	4.59460466539951	5.19329257950812	4.76699812862839	4.08558774646487	4.77836568441904	4.0345155261474	4.37198352467271	4.2616682570258	3.40803238253721	3.85368644976573	4.59091664763149	4.42129536461031	4.69346135550816	4.55821755168818	4.93271846454333	3.7444927732615	4.26282823076272	5.07932136117861	4.29953900650252	5.57864741704783	5.04055840333945	4.42973543644157	4.467429593024	5.18618688706512
ABCE1	3.30218039497359	5.3478122746242	4.13280790016123	3.63101335132676	4.25476634128475	4.39684241522298	3.93411343473178	4.49380248151502	3.91824744057057	2.99795958005705	4.94887098342313	3.96535660555425	4.05356241030073	4.22193306449922	4.59813500266227	3.19913599829751	3.19293390131235	3.4156277383173	3.95017022980065	4.32769860140102	4.21225913260424	4.10766951779443	4.17927106945005	4.1285865041052	3.9435741752401	4.51880996833072	4.06638259618731	4.25213121332283	4.83191996732395
ABCF1	4.01577665824897	4.58395855812497	4.07158813446937	3.93097211851927	4.8049411768549	4.17957148734057	3.95183032818643	4.38333112407146	4.24855898048719	3.90319763922837	4.57686748887986	4.33723700588294	4.49661590595226	5.01308024431116	4.5599851832413	4.21605301353637	3.66008528748114	3.46342550423655	4.47798825108413	4.84841553090775	4.43757194283275	4.03984177722521	4.80119711560196	4.6419531028924	5.00674114913456	5.12368786204835	4.22680375071044	4.77365739759216	4.90589714965626
ABCF2	3.05571712930164	4.99300278858751	3.90322542432209	3.68620821882401	4.33794050698298	4.02370149593005	3.70988916878497	4.65754391048007	4.24208805431075	3.67367815655502	4.19724683845063	3.65793074737882	3.78550553435733	4.02930473214261	5.41494122361167	3.86566584537929	3.24559038046802	3.17364010880925	4.38914159950433	4.25345805975546	4.92426891258976	3.60656908127471	4.19577521970021	3.84476739214034	5.00797504874433	4.53311093558765	3.7319195079059	4.26867759008202	4.88522016386639
ABCF3	4.03454351694166	4.95895252139234	4.98840748151401	3.53815053114501	4.32322671490587	3.89958810734727	4.49496744504282	4.35608655497756	4.54312180442204	3.68372270829391	5.20520562577829	3.87243502407952	4.51699077570401	4.45959227653262	4.09006989943574	5.13433946620779	3.56603983635213	3.89048367217959	4.34434239121041	4.55863611560693	4.33001379018298	5.1456693708471	4.04920429696395	5.15247753779611	4.48854756669226	4.62076198254918	4.30896173027139	4.5311867366049	5.15275543706643
ABHD10	4.60635969807233	2.86246163674891	4.10659356600451	4.07567835032663	3.9595327506652	4.18804705140685	5.27076645185362	4.27447852818709	4.38089588842636	4.87395471246573	3.52551131474482	3.31453772365234	3.67090017479773	3.33085313194106	3.41260698361057	0	4.94085128039124	4.86814421160448	3.84606703334982	4.01124792268315	3.24258250569907	3.91271415543047	3.82836219096605	4.05911338461742	4.43991631651462	4.11230893407116	3.92140273709987	3.47406948689875	3.7146011754365
ABHD11	4.85344293326216	5.6744211960685	4.01788745459505	5.99778862521759	7.07742214305588	4.16189727830856	5.59898435343782	4.0912131130019	3.62943592898847	5.60161215476482	4.90899600736159	4.51471471022344	3.95577556932511	4.46345720813268	3.59254515307501	4.79115959059704	4.39038873421115	4.62290730001016	5.18533410155252	5.42466387309922	3.7223973932693	5.41845268619086	4.53716803913608	4.59657435901477	3.82860525903116	4.79789701632768	5.36257878077182	3.85225687928339	3.97356778898513
ABHD12	4.84621923322506	4.70636764100102	4.02242724654346	4.52919658250918	4.03869785072162	4.21839485983603	4.56395588963295	4.7646640702398	4.13856398647537	3.70892822741148	4.04586824753903	4.49843250909099	5.99945788964121	2.99434010158759	2.86176471355018	4.29217659175375	5.20209285240978	4.54169368124548	4.08484998395055	5.01444923201472	4.25120243276398	4.65028019559888	3.95724529065377	4.44834223446096	3.56093433007509	4.22354397585037	4.90019720551294	4.27116943167642	5.3116655052142
ABHD14B	3.53470897018694	5.98931952875215	4.6989169897302	3.70661733451101	4.2758722808027	2.87093196398664	4.04171568723213	4.63777745603845	4.17543672401815	4.19821497007615	5.14131150389366	2.45066966489739	2.92503313645512	3.09944237094471	6.04827901704851	6.3943248793608	2.22360162758142	3.6568760282717	3.90138771946687	4.24172411530646	4.13454290491035	4.90123089862263	3.50743627231591	5.20818647355701	2.9229300368954	5.03283933222779	4.31874582575676	4.16035208616921	3.87005608802074
ABHD16A	4.13974016798131	5.26901650535782	4.15307894985449	5.51776134419967	4.59996191488919	4.19498967175803	4.66886093405779	3.88290467691075	4.55967126503719	5.17079554743345	4.10784784591661	5.04345211975824	5.27404530905672	4.81072872869579	4.22458466921623	4.36881111906981	5.04743332753392	4.88364289252002	4.38665823227064	4.18623284715741	4.17097383465254	3.95587978637789	4.62423688370773	4.82040489872406	4.72773813492669	5.14744780826161	5.03748000156916	4.82323810434857	5.37185189390061
